Measure:volume,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,CSF,Left-Accumbens-area,Left-VentralDC,Left-vessel,Left-choroid-plexus,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-vessel,Right-choroid-plexus,5th-Ventricle,WM-hypointensities,Left-WM-hypointensities,Right-WM-hypointensities,non-WM-hypointensities,Left-non-WM-hypointensities,Right-non-WM-hypointensities,Optic-Chiasm,CC_Posterior,CC_Mid_Posterior,CC_Central,CC_Mid_Anterior,CC_Anterior,BrainSegVol,BrainSegVolNotVent,lhCortexVol,rhCortexVol,CortexVol,lhCerebralWhiteMatterVol,rhCerebralWhiteMatterVol,CerebralWhiteMatterVol,SubCortGrayVol,TotalGrayVol,SupraTentorialVol,SupraTentorialVolNotVent,MaskVol,BrainSegVol-to-eTIV,MaskVol-to-eTIV,lhSurfaceHoles,rhSurfaceHoles,SurfaceHoles,EstimatedTotalIntraCranialVol,SegmentedTotalIntracranialVol
sub-NDARFJ372JDJ,8050.9,595.9,15719.8,53202.8,8028.0,4579.7,6031.6,1810.3,718.6,1739.2,21545.8,4175.4,1755.7,294892.6,787.7,4264.6,0.0,0.0,12350.4,354.8,15892.2,53478.6,7583.2,4660.2,5931.7,1708.4,4589.0,1769.2,824.4,4390.9,0.0,0.0,0.0,85.1,0.0,0.0,0.0,0.0,0.0,0.0,940.0,574.6,703.7,485.0,1166.2,1533347.0,1209714.0,268428.500436,269375.588466,537804.088901,246276.0,244875.0,491151.0,65381.0,713598.088901,1392642.0,1069009.0,1654109.0,0.906506,0.9779,29.0,28.0,57.0,1691491.396799,1609596.0
sub-NDARFJ423LW9,3949.9,777.0,16286.6,61574.1,8193.4,4992.7,5698.9,1872.0,817.5,1935.3,20338.3,4147.0,1723.6,301389.3,773.4,4167.7,0.0,0.0,4202.5,627.3,15328.4,61702.5,7933.8,5019.1,5418.3,1777.1,4359.5,1937.3,730.4,4328.4,0.0,0.0,0.0,129.9,0.0,0.0,0.0,0.0,0.0,0.0,873.4,454.6,798.0,707.2,823.5,1583061.0,1265963.0,292192.487431,293688.028295,585880.515726,244923.5,241992.5,486916.0,65480.0,778381.515726,1425432.0,1108334.0,1664205.0,0.901975,0.948208,12.0,21.0,33.0,1755105.844162,1675814.0
sub-NDARFJ494ZDJ,9730.3,456.4,16639.1,70435.1,8684.0,4520.5,6107.9,1862.0,927.4,3278.8,25464.3,4222.7,1826.8,368104.5,713.4,4474.5,0.0,0.0,9096.0,431.9,16406.1,68081.1,7821.6,4794.5,5998.9,1828.8,4340.8,1972.6,725.9,4602.2,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,1021.0,682.3,936.2,597.3,1265.6,1737453.0,1335862.0,289073.276894,288337.084245,577410.361139,267541.0,267708.0,535249.0,66369.0,785114.361139,1564145.0,1162554.0,1820194.0,0.930946,0.975279,4.0,6.0,10.0,1866330.90047,1825100.2
sub-NDARFJ651RMJ,3175.7,460.4,11102.1,55077.4,7136.4,4648.7,6084.5,1891.7,571.7,1539.6,16365.0,4204.3,1654.8,241197.6,807.6,3370.9,0.0,0.0,4081.5,616.5,10954.5,53980.1,7064.7,4758.8,6041.9,1891.2,4224.1,1666.7,756.9,3389.2,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,672.1,376.9,536.6,424.9,727.6,1401465.0,1139868.0,291587.51712,290619.014588,582206.531707,195821.0,191934.0,387755.0,60960.0,755237.531707,1268017.0,1006420.0,1482266.0,0.915876,0.968681,11.0,8.0,19.0,1530190.08264,1478951.5
sub-NDARFJ803JF7,3209.2,573.3,12161.8,59945.6,7112.7,4581.1,5424.6,1616.7,649.9,1987.6,17942.7,3815.2,1698.2,236422.9,528.7,3872.4,0.0,0.0,3906.3,461.8,11753.9,60409.3,7283.9,4651.6,5306.6,1681.3,4052.4,1773.4,541.5,3998.3,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,864.0,441.0,713.7,620.2,664.6,1325855.0,1070038.0,244759.811641,245605.381623,490365.193264,193574.0,194367.0,387941.0,59480.0,672968.193264,1179591.0,923774.0,1414794.0,0.919297,0.980964,11.0,5.0,16.0,1442248.161122,1401844.8
sub-NDARFK027LB0,3116.7,419.6,17482.7,65322.4,8453.3,4339.7,5841.8,1833.6,639.2,2383.2,23689.6,4484.7,1975.4,264912.1,668.4,4465.3,0.0,0.0,3074.9,447.9,17065.1,65889.8,8334.2,4432.1,5748.8,1701.5,4603.1,1890.0,646.7,4727.1,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,639.8,281.0,529.1,836.5,706.1,1406006.0,1127841.0,252370.141326,252665.30968,505035.451006,206373.5,204529.5,410903.0,66078.0,705483.451006,1238276.0,960111.0,1553621.0,0.914411,1.010414,23.0,24.0,47.0,1537608.131822,1486945.2
sub-NDARFK262EKF,3709.8,447.8,13722.3,54242.5,7330.6,4175.6,6041.3,2007.7,728.1,1708.3,17176.6,4156.2,1398.1,246088.5,574.1,3919.2,0.0,0.0,3765.0,553.5,12996.2,50846.8,7085.2,4276.8,5956.8,1880.8,4215.4,1588.6,607.2,3939.6,0.0,0.0,0.0,87.9,0.0,0.0,0.0,0.0,0.0,0.0,689.9,365.0,624.6,529.0,655.1,1282558.0,1021708.0,229165.35117,236752.090001,465917.441171,193295.0,198465.0,391760.0,61058.0,634077.441171,1149719.0,888869.0,1401344.0,0.889881,0.972299,52.0,46.0,98.0,1441268.858692,1359760.1
sub-NDARFK452XCU,6668.4,582.2,20215.6,70687.0,8529.6,4770.2,6397.4,1894.6,851.4,2883.8,25911.7,4765.1,1906.9,310235.6,826.9,4675.4,0.0,0.0,6222.9,587.4,19437.5,72005.8,8284.9,4866.6,6187.3,1822.1,4869.9,1979.9,774.6,4591.9,0.0,0.0,0.0,60.5,0.0,0.0,0.0,0.0,0.0,0.0,1021.0,519.9,942.3,883.3,918.4,1620936.0,1290012.0,292072.553239,287390.043348,579462.596587,239640.0,237106.0,476746.0,69511.0,795492.596587,1436027.0,1105103.0,1699556.0,0.932896,0.978144,12.0,21.0,33.0,1737531.530457,1703643.2
sub-NDARFK477WX9,5035.2,587.9,15064.5,51808.4,6837.3,3723.9,5995.9,1952.6,607.2,1956.9,19639.6,4097.5,1692.4,241783.8,641.2,4090.7,0.0,0.0,4919.3,467.4,15462.2,52013.7,6980.9,3772.8,5890.8,1868.3,4462.1,1837.4,621.2,4040.1,0.0,0.0,0.0,12.3,0.0,0.0,0.0,0.0,0.0,0.0,853.8,554.6,525.4,443.7,1024.7,1323061.0,1063393.0,230871.887664,224105.604967,454977.49263,217203.0,217012.0,434215.0,60684.0,621479.49263,1187823.0,928155.0,1515853.0,0.874623,1.00207,43.0,55.0,98.0,1512722.245668,1436537.0
sub-NDARFK610GY5,5055.3,612.5,13209.2,55733.0,7743.7,4806.1,6594.3,1785.0,496.6,1427.9,18555.1,4473.9,1745.4,292573.9,750.3,3772.8,0.0,0.0,4122.3,735.4,13577.0,56566.6,7725.2,4716.4,6527.4,1791.3,4606.1,1929.0,869.7,3788.5,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,821.8,524.0,651.0,559.0,742.5,1491387.0,1182245.0,280194.24717,276442.129642,556636.376812,222772.5,220307.5,443080.0,65716.0,737366.376812,1350484.0,1041342.0,1704808.0,0.869089,0.993457,45.0,45.0,90.0,1716035.378614,1642825.1
