rh.aparc.area,rh_bankssts_area,rh_caudalanteriorcingulate_area,rh_caudalmiddlefrontal_area,rh_cuneus_area,rh_entorhinal_area,rh_fusiform_area,rh_inferiorparietal_area,rh_inferiortemporal_area,rh_isthmuscingulate_area,rh_lateraloccipital_area,rh_lateralorbitofrontal_area,rh_lingual_area,rh_medialorbitofrontal_area,rh_middletemporal_area,rh_parahippocampal_area,rh_paracentral_area,rh_parsopercularis_area,rh_parsorbitalis_area,rh_parstriangularis_area,rh_pericalcarine_area,rh_postcentral_area,rh_posteriorcingulate_area,rh_precentral_area,rh_precuneus_area,rh_rostralanteriorcingulate_area,rh_rostralmiddlefrontal_area,rh_superiorfrontal_area,rh_superiorparietal_area,rh_superiortemporal_area,rh_supramarginal_area,rh_frontalpole_area,rh_temporalpole_area,rh_transversetemporal_area,rh_insula_area,rh_WhiteSurfArea_area,BrainSegVolNotVent,eTIV
sub-NDARPE838DC5,912.0,535.0,1857.0,1742.0,420.0,2530.0,6697.0,2873.0,1041.0,5474.0,1939.0,2957.0,1674.0,3460.0,610.0,1287.0,1569.0,974.0,1416.0,1488.0,3974.0,1231.0,4741.0,3743.0,377.0,4585.0,6166.0,5815.0,3880.0,4165.0,333.0,505.0,292.0,2186.0,83449.2,1046855.0,1630494.567806
sub-NDARPF042DD2,1138.0,989.0,2468.0,1132.0,600.0,3386.0,7417.0,3027.0,1070.0,6135.0,2472.0,3581.0,2154.0,3693.0,796.0,1750.0,1667.0,909.0,1838.0,1466.0,4220.0,1397.0,5958.0,3423.0,740.0,6297.0,7755.0,5149.0,4007.0,2938.0,404.0,616.0,370.0,2553.0,93516.5,1134141.0,1590389.786761
sub-NDARPF118ABV,688.0,581.0,1845.0,1246.0,389.0,2475.0,4269.0,2484.0,806.0,3734.0,2250.0,2452.0,1867.0,2923.0,582.0,1291.0,1418.0,742.0,1520.0,1080.0,3290.0,1080.0,4234.0,3006.0,479.0,5102.0,6114.0,3986.0,3366.0,3294.0,291.0,385.0,324.0,2099.0,71693.9,893090.0,1197346.067233
sub-NDARPF179GNV,1107.0,716.0,2626.0,1938.0,482.0,3444.0,6950.0,3962.0,1292.0,5718.0,2992.0,3541.0,2360.0,4371.0,737.0,1575.0,1602.0,1016.0,1719.0,1910.0,4936.0,1462.0,6010.0,5270.0,588.0,7024.0,8171.0,6380.0,4720.0,4397.0,373.0,540.0,389.0,2705.0,103024.0,1248648.0,1706174.9865
sub-NDARPF319WV2,983.0,687.0,2293.0,1726.0,383.0,4241.0,7728.0,4183.0,1083.0,6284.0,3122.0,3241.0,2566.0,4712.0,812.0,1844.0,1818.0,1152.0,2041.0,1443.0,5529.0,1318.0,5202.0,5363.0,789.0,8720.0,8092.0,7586.0,4327.0,5391.0,521.0,675.0,432.0,2552.0,108839.0,1263146.0,1708218.658841
sub-NDARPF325KE2,978.0,1064.0,2895.0,2026.0,501.0,3468.0,5919.0,4315.0,1126.0,6709.0,2902.0,4067.0,2290.0,4501.0,646.0,1840.0,1989.0,1237.0,2341.0,2013.0,3201.0,1265.0,4085.0,3796.0,808.0,8723.0,9637.0,4547.0,4123.0,2916.0,452.0,550.0,355.0,2648.0,99935.2,1249877.0,1777112.231773
sub-NDARPF362VH8,1131.0,691.0,2228.0,1667.0,435.0,3056.0,6820.0,3818.0,1031.0,5898.0,2601.0,3134.0,1923.0,3692.0,601.0,1588.0,1556.0,972.0,1966.0,1398.0,3632.0,1414.0,4856.0,4052.0,618.0,5739.0,7127.0,5474.0,3755.0,3343.0,284.0,497.0,326.0,2547.0,89870.3,1111398.0,1488143.232038
sub-NDARPF395NV5,1174.0,1016.0,2143.0,1918.0,471.0,4011.0,7015.0,4301.0,1141.0,6207.0,3616.0,3645.0,2430.0,4546.0,776.0,2276.0,1515.0,1208.0,2272.0,1904.0,5045.0,1320.0,6090.0,4393.0,929.0,8399.0,9418.0,6442.0,4818.0,4312.0,421.0,543.0,452.0,2595.0,108762.0,1340941.0,1803748.820657
sub-NDARPF459CME,1694.0,995.0,2793.0,1789.0,546.0,3855.0,7185.0,4449.0,953.0,5564.0,2940.0,4089.0,2277.0,5424.0,893.0,1666.0,1551.0,1185.0,1874.0,1838.0,3294.0,1401.0,6024.0,3493.0,658.0,8227.0,10118.0,4721.0,4177.0,2870.0,415.0,671.0,358.0,2387.0,102373.0,1196818.0,1758579.918601
sub-NDARPF460UXT,797.0,668.0,1951.0,1636.0,416.0,2800.0,6032.0,3570.0,966.0,5100.0,2530.0,3633.0,1862.0,3822.0,723.0,1697.0,1413.0,1037.0,2253.0,1836.0,4253.0,1322.0,4575.0,3868.0,687.0,5582.0,7035.0,4755.0,3559.0,3500.0,319.0,500.0,303.0,2673.0,87675.0,1176519.0,1623046.730318
