lh.aparc.area,lh_bankssts_area,lh_caudalanteriorcingulate_area,lh_caudalmiddlefrontal_area,lh_cuneus_area,lh_entorhinal_area,lh_fusiform_area,lh_inferiorparietal_area,lh_inferiortemporal_area,lh_isthmuscingulate_area,lh_lateraloccipital_area,lh_lateralorbitofrontal_area,lh_lingual_area,lh_medialorbitofrontal_area,lh_middletemporal_area,lh_parahippocampal_area,lh_paracentral_area,lh_parsopercularis_area,lh_parsorbitalis_area,lh_parstriangularis_area,lh_pericalcarine_area,lh_postcentral_area,lh_posteriorcingulate_area,lh_precentral_area,lh_precuneus_area,lh_rostralanteriorcingulate_area,lh_rostralmiddlefrontal_area,lh_superiorfrontal_area,lh_superiorparietal_area,lh_superiortemporal_area,lh_supramarginal_area,lh_frontalpole_area,lh_temporalpole_area,lh_transversetemporal_area,lh_insula_area,lh_WhiteSurfArea_area,BrainSegVolNotVent,eTIV
sub-NDARNH766CU7,982.0,751.0,2904.0,1598.0,456.0,3201.0,5681.0,4062.0,1232.0,5125.0,2517.0,3340.0,1888.0,3848.0,633.0,1396.0,1573.0,576.0,1596.0,1733.0,4691.0,1440.0,5880.0,4433.0,1012.0,6240.0,8815.0,6817.0,4213.0,4616.0,278.0,532.0,486.0,2528.0,97086.3,1178005.0,1631266.202357
sub-NDARNH862EMH,1022.0,696.0,2296.0,1464.0,598.0,3427.0,5951.0,4705.0,1351.0,4949.0,3079.0,3112.0,2075.0,4399.0,649.0,1503.0,1851.0,785.0,1516.0,1167.0,4061.0,1485.0,5229.0,4291.0,1329.0,6356.0,8778.0,5846.0,4320.0,3799.0,358.0,513.0,463.0,2977.0,96401.8,1231390.0,1705245.81608
sub-NDARNJ623KAF,1221.0,1249.0,2493.0,1558.0,505.0,4373.0,6088.0,4653.0,1216.0,6607.0,3579.0,3290.0,2669.0,4473.0,755.0,1794.0,1570.0,1066.0,1765.0,1617.0,5398.0,1714.0,5567.0,4746.0,1072.0,7679.0,9681.0,6756.0,5703.0,4317.0,369.0,685.0,567.0,2861.0,109654.0,1416207.0,1950092.448762
sub-NDARNJ633HHX,714.0,554.0,1963.0,1986.0,535.0,3017.0,4942.0,3500.0,1106.0,5506.0,2599.0,3445.0,1688.0,2956.0,755.0,1435.0,1476.0,840.0,1257.0,2075.0,4680.0,1262.0,4731.0,3820.0,662.0,6296.0,7437.0,5922.0,3872.0,3837.0,308.0,512.0,411.0,2260.0,88358.1,1058012.0,1443443.976847
sub-NDARNJ687DMC,1314.0,761.0,2390.0,1459.0,385.0,3547.0,4601.0,3952.0,1361.0,4996.0,3278.0,3404.0,2045.0,4059.0,590.0,1289.0,1669.0,918.0,1567.0,1535.0,4374.0,1458.0,4715.0,4066.0,908.0,6656.0,8049.0,5576.0,4480.0,5004.0,346.0,438.0,475.0,2331.0,93996.7,1115885.0,1504452.40208
sub-NDARNJ715JPV,882.0,710.0,2712.0,1493.0,354.0,2774.0,4051.0,3910.0,1057.0,4800.0,2727.0,2673.0,2025.0,3544.0,577.0,1465.0,1878.0,704.0,1611.0,1497.0,4165.0,1291.0,4830.0,4233.0,802.0,6311.0,7610.0,5342.0,3840.0,3421.0,254.0,371.0,429.0,2221.0,86563.9,1020575.0,1356677.675991
sub-NDARNJ894VH2,1213.0,838.0,2218.0,1668.0,541.0,3280.0,4871.0,3614.0,1166.0,5009.0,2850.0,2839.0,2092.0,3050.0,695.0,1309.0,1816.0,856.0,1600.0,1543.0,3836.0,1535.0,4578.0,3741.0,904.0,6583.0,8324.0,5393.0,4441.0,4364.0,280.0,537.0,532.0,2263.0,90380.9,1143586.0,1511076.045684
sub-NDARNJ950EFG,1146.0,909.0,2910.0,1683.0,565.0,3241.0,5159.0,3899.0,1051.0,6146.0,2802.0,3802.0,2098.0,3972.0,659.0,1634.0,1981.0,818.0,1589.0,1675.0,4679.0,1519.0,5709.0,3922.0,996.0,7276.0,8803.0,5478.0,4894.0,4999.0,328.0,503.0,514.0,2665.0,100028.0,1209561.0,1676199.163952
sub-NDARNJ987CYD,1336.0,622.0,1581.0,1566.0,636.0,3654.0,4883.0,3628.0,908.0,5510.0,2682.0,3244.0,1934.0,3444.0,604.0,806.0,1796.0,834.0,1779.0,1526.0,3133.0,1053.0,4245.0,3792.0,875.0,8010.0,7050.0,4416.0,4097.0,3845.0,339.0,486.0,366.0,2223.0,86903.0,1096776.0,1517077.86955
sub-NDARNK005BRN,1546.0,820.0,1892.0,1755.0,518.0,4391.0,6681.0,4278.0,1469.0,6862.0,3404.0,3689.0,2042.0,4238.0,795.0,1497.0,2407.0,1044.0,1956.0,1532.0,4799.0,1534.0,5663.0,4968.0,1112.0,7367.0,8400.0,6742.0,4539.0,4647.0,341.0,561.0,424.0,2806.0,106720.0,1307155.0,1800837.454882
